country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,pollution_spread,pm25_dominance,kmeans_cluster,risk_level,risk_label,dbscan_cluster
Peru,Arequipa,57.0,1.0,4.0,5.0,57.0,26.88710967483613,0.8507462559590111,1,1,Moderate Risk,0
Peru,Ascope,40.0,1.0,13.0,2.0,40.0,18.16590212458495,0.7142857015306125,1,1,Moderate Risk,0
Peru,Ayacucho,12.0,0.0,8.0,0.0,12.0,6.0,0.5999999700000015,2,0,Low Risk,0
Peru,Ayaviri,25.0,0.0,3.0,2.0,25.0,11.73314393786536,0.8333333055555564,1,1,Moderate Risk,0
Peru,Azangaro,28.0,1.0,2.0,3.0,28.0,13.025615788386615,0.8235293875432533,1,1,Moderate Risk,0
Peru,Bagua Grande,26.0,1.0,3.0,1.0,26.0,12.203141671990318,0.8387096503642048,1,1,Moderate Risk,0
Peru,Bambamarca,17.0,0.0,5.0,1.0,17.0,7.804912982645397,0.7391304026465042,1,1,Moderate Risk,0
Peru,Barranca,40.0,1.0,22.0,0.0,40.0,19.085334683992315,0.6349206248425298,1,1,Moderate Risk,0
Peru,Bellavista,56.0,2.0,1.0,0.0,56.0,27.5121185419565,0.9491525262855505,1,1,Moderate Risk,0
Peru,Cajabamba,27.0,1.0,4.0,0.0,27.0,12.780193008453876,0.8437499736328133,1,1,Moderate Risk,0
Peru,Cajamarca,44.0,1.0,3.0,2.0,44.0,21.01586702153082,0.8799999824000004,1,1,Moderate Risk,0
Peru,Camana,23.0,1.0,23.0,0.0,14.0,11.030261405182864,0.36842104293628836,2,0,Low Risk,0
Peru,Caraz,39.0,1.0,0.0,3.0,39.0,18.874586088176873,0.9069767230935646,1,1,Moderate Risk,0
Peru,Casma,27.0,0.0,19.0,0.0,27.0,13.674794331177344,0.5869565089792064,2,0,Low Risk,0
Peru,Catacaos,43.0,1.0,19.0,1.0,43.0,19.8997487421324,0.6718749895019533,1,1,Moderate Risk,0
Peru,Celendin,14.0,0.0,8.0,0.0,14.0,6.8068592855540455,0.6363636074380178,2,0,Low Risk,0
Peru,Cerro De Pasco,11.0,0.0,7.0,0.0,11.0,5.446711546122731,0.6111110771604957,2,0,Low Risk,0
Peru,Chachapoyas,21.0,0.0,4.0,0.0,21.0,10.012492197250394,0.8399999664000013,1,1,Moderate Risk,0
Peru,Chancay,114.0,3.0,15.0,7.0,114.0,53.068352150787575,0.8201438789917707,1,1,Moderate Risk,0
Peru,Chaupimarca,11.0,0.0,11.0,0.0,6.0,5.315072906367325,0.35294115570934376,2,0,Low Risk,0
Peru,Chepen,81.0,2.0,9.0,3.0,81.0,38.29164399709158,0.8526315699722993,1,1,Moderate Risk,0
Peru,Chicama,44.0,0.0,24.0,0.0,44.0,21.2602916254693,0.647058814013841,1,1,Moderate Risk,0
Peru,Chiclayo,50.0,1.0,24.0,0.0,50.0,23.59908190304586,0.6666666577777779,1,1,Moderate Risk,0
Peru,Chilca,92.0,2.0,16.0,5.0,92.0,42.59401366389413,0.7999999930434784,1,1,Moderate Risk,0
Peru,Chimbote,36.0,1.0,22.0,0.0,36.0,17.423642940938997,0.6101694811835682,2,0,Low Risk,0
Peru,Chincha Alta,30.0,1.0,14.0,1.0,30.0,13.771952173409064,0.6521738988657848,1,1,Moderate Risk,0
Peru,Chocope,32.0,1.0,15.0,2.0,32.0,14.479871085982314,0.6399999872000003,1,1,Moderate Risk,0
Peru,Chongoyape,49.0,1.0,5.0,2.0,49.0,23.228933107943924,0.8596491077254543,1,1,Moderate Risk,0
Peru,Chosica,179.0,9.0,5.0,25.0,179.0,83.44858696626724,0.8211009136646747,3,2,High Risk,0
Peru,Chota,25.0,0.0,7.0,0.0,25.0,11.803954139750516,0.7812499755859383,1,1,Moderate Risk,0
Peru,Chulucanas,58.0,1.0,12.0,1.0,58.0,27.16615541441225,0.8055555443672842,1,1,Moderate Risk,0
Peru,Colan,34.0,0.0,23.0,0.0,34.0,17.05627939108253,0.5964912176054172,2,0,Low Risk,0
Peru,Concepcion,24.0,0.0,5.0,1.0,24.0,11.210114480533491,0.7999999733333342,1,1,Moderate Risk,0
Peru,Contamana,26.0,1.0,5.0,0.0,26.0,12.192894105447921,0.8124999746093758,1,1,Moderate Risk,0
Peru,Corrales,14.0,0.0,6.0,1.0,14.0,6.3966136874651625,0.6666666349206364,2,0,Low Risk,0
Peru,Cusco,29.0,1.0,2.0,2.0,29.0,13.674794331177344,0.8529411513840839,1,1,Moderate Risk,0
Peru,Cutervo,31.0,1.0,8.0,0.0,31.0,14.445299120013633,0.7749999806250005,1,1,Moderate Risk,0
Peru,Eten,50.0,0.0,24.0,0.0,50.0,23.853720883753127,0.6756756665449235,1,1,Moderate Risk,0
Peru,Ferrenafe,34.0,0.0,19.0,1.0,34.0,16.217274740226856,0.6296296179698219,2,0,Low Risk,0
Peru,Huacho,38.0,1.0,20.0,1.0,38.0,17.75762746915627,0.633333322777778,1,1,Moderate Risk,0
Peru,Hualmay,32.0,1.0,22.0,1.0,32.0,15.556349186104045,0.57142856122449,2,0,Low Risk,0
Peru,Huamachuco,11.0,0.0,11.0,0.0,10.0,6.075908711186061,0.47619045351474026,2,0,Low Risk,0
Peru,Huancavelica,10.0,0.0,2.0,1.0,10.0,4.573474244670748,0.7692307100591762,1,1,Moderate Risk,0
Peru,Huancayo,25.0,0.0,4.0,2.0,25.0,11.615363389350618,0.8064515868886585,1,1,Moderate Risk,0
